"organization_id","hospital_id","organization_name"
O1                  ,H1                  ,Pathology Lab Partners
O2                  ,H1                  ,LabCorp Solutions
O3                  ,H1                  ,Anesthesia Co.
O4                  ,H1                  ,Pain Relief Supplies
O5                  ,H1                  ,Surgical Tools Inc.
O6                  ,H1                  ,Sterile Supplies Ltd.
O7                  ,H1                  ,Diagnostic Imaging Corp.
O8                  ,H1                  ,Radiology Services Ltd.
O9                  ,H1                  ,NeuroScan Systems
O10                 ,H1                  ,Rapid Response Supplies
O11                 ,H1                  ,Ambulance Services Ltd.
O12                 ,H1                  ,PharmaDirect
O13                 ,H1                  ,Rx Solutions
